City,Country,Lat,Lng,Max Temp,Min Temp,Huidity,Cloudiness,Wind Speed,Current Description
Flinders,Au,-34.5833,150.8552,59.38,55.26,93,100,7.0,light rain
Punta arenas,Cl,-53.15,-70.9167,32.11,32.11,74,75,9.22,broken clouds
Bethel,Us,41.3712,-73.414,84.88,77.83,42,0,8.05,clear sky
Tecpan,Gt,14.7623,-90.9947,54.37,54.37,97,100,5.21,overcast clouds
Esperance,Au,-33.8667,121.9,48.99,48.99,73,0,13.31,clear sky
Hobart,Au,-42.8794,147.3294,44.28,42.66,89,40,17.27,scattered clouds
Rikitea,Pf,-23.1203,-134.9692,74.91,74.91,74,11,17.29,few clouds
Kavaratti,In,10.5669,72.642,82.89,82.89,74,100,18.16,overcast clouds
Provideniya,Ru,64.3833,-173.3,48.83,48.83,86,100,4.12,overcast clouds
Portland,Us,45.5234,-122.6762,65.89,58.78,67,75,3.44,broken clouds
Mahebourg,Mu,-20.4081,57.7,70.09,69.26,88,75,14.97,light intensity shower rain
Belmonte,Br,-15.8631,-38.8828,78.15,78.15,55,56,9.01,broken clouds
Ushuaia,Ar,-54.8,-68.3,38.86,38.86,81,20,3.44,few clouds
Boundiali,Ci,9.5217,-6.4869,77.45,77.45,81,100,5.1,light rain
Upernavik,Gl,72.7868,-56.1549,38.68,38.68,78,20,10.65,few clouds
Tamandare,Br,-8.7597,-35.1047,78.76,78.76,77,66,13.42,broken clouds
Port alfred,Za,-33.5906,26.891,62.19,62.19,81,87,3.0,overcast clouds
Vaini,To,-21.2,-175.2,71.76,71.76,78,40,6.91,scattered clouds
Hermanus,Za,-34.4187,19.2345,49.8,49.8,79,38,7.29,scattered clouds
Panaba,Mx,21.2833,-88.2667,97.11,97.11,35,1,8.16,clear sky
Marzuq,Ye,14.4,46.4667,85.51,85.51,31,28,5.91,scattered clouds
Suntar,Ru,62.1444,117.6319,65.91,65.91,86,53,12.21,broken clouds
Broome,Us,42.2506,-75.833,79.47,72.37,40,0,12.66,clear sky
Porto santo,Pt,33.072,-16.3415,71.98,71.98,68,20,13.8,few clouds
Mogadishu,So,2.0371,45.3438,76.75,76.75,79,79,20.07,broken clouds
Tasiilaq,Gl,65.6145,-37.6368,48.36,48.36,82,63,1.81,broken clouds
Chuy,Uy,-33.6971,-53.4616,54.27,54.27,61,60,6.87,broken clouds
Buarcos,Pt,40.166,-8.8768,74.66,70.14,82,5,6.08,clear sky
Albany,Us,42.6001,-73.9662,80.94,75.25,37,41,1.99,scattered clouds
Lazurne,Ua,46.084,32.5295,71.37,71.37,58,24,7.76,few clouds
Bambous virieux,Mu,-20.3428,57.7575,70.05,69.22,88,75,14.97,light intensity shower rain
Kabo,Cf,7.6994,18.629,75.06,75.06,80,48,3.98,scattered clouds
Ambovombe,Mg,-25.1667,46.0833,65.01,65.01,69,0,4.97,clear sky
Mount gambier,Au,-37.8333,140.7667,47.68,47.68,85,74,6.06,broken clouds
Lebu,Cl,-37.6167,-73.65,51.58,51.58,72,85,12.53,overcast clouds
Kamenka,Ru,51.3223,42.7678,64.38,64.38,73,21,5.39,few clouds
Zaranj,Af,30.9667,61.8833,103.96,103.96,12,0,20.78,clear sky
Broken hill,Au,-31.95,141.4333,40.53,40.53,80,93,13.22,overcast clouds
Olafsvik,Is,64.8945,-23.7142,47.1,47.1,84,84,21.0,broken clouds
Bluff,Nz,-46.6,168.3333,46.8,46.8,74,14,20.07,few clouds
Victoria,Cn,22.2855,114.1577,84.33,81.95,89,100,14.0,overcast clouds
Qaanaaq,Gl,77.484,-69.3632,36.97,36.97,99,100,9.42,light rain
Acapulco,Mx,16.8634,-99.8901,85.82,85.82,74,75,5.75,broken clouds
Sangar,Ru,63.9242,127.4739,67.68,67.68,60,39,10.18,scattered clouds
Mayumba,Ga,-3.432,10.6554,72.18,72.18,87,44,8.16,scattered clouds
Puerto ayora,Ec,-0.7393,-90.3518,75.16,73.54,87,98,5.99,overcast clouds
Havoysund,No,70.9963,24.6622,53.83,53.83,94,100,18.32,overcast clouds
Peleduy,Ru,59.6289,112.7406,59.45,59.45,89,98,7.36,overcast clouds
Shimoda,Jp,34.6667,138.95,78.1,78.1,89,100,10.89,light rain
Faanui,Pf,-16.4833,-151.75,78.6,78.6,69,62,15.46,broken clouds
Yumen,Cn,40.2833,97.2,75.15,75.15,22,99,11.14,overcast clouds
Kaitangata,Nz,-46.2817,169.8464,41.04,41.04,86,2,6.76,clear sky
Tigil,Ru,57.8,158.6667,45.46,45.46,96,71,2.89,broken clouds
Rocha,Uy,-34.4833,-54.3333,56.1,56.1,49,12,5.91,few clouds
