City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Flinders,Au,59.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
1,Punta arenas,Cl,32.11,broken clouds,-53.15,-70.9167,Hotel Hain
2,Bethel,Us,84.88,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
3,Tecpan,Gt,54.37,overcast clouds,14.7623,-90.9947,Villa San Ricardo
4,Esperance,Au,48.99,clear sky,-33.8667,121.9,Hospitality Esperance
5,Hobart,Au,44.28,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
6,Rikitea,Pf,74.91,few clouds,-23.1203,-134.9692,People ThankYou
7,Kavaratti,In,82.89,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
9,Portland,Us,65.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
10,Mahebourg,Mu,70.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Belmonte,Br,78.15,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
12,Ushuaia,Ar,38.86,few clouds,-54.8,-68.3,Albatross Hotel
13,Boundiali,Ci,77.45,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
14,Upernavik,Gl,38.68,few clouds,72.7868,-56.1549,Café de Upernavik
15,Tamandare,Br,78.76,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
16,Port alfred,Za,62.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
17,Vaini,To,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Hermanus,Za,49.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Panaba,Mx,97.11,clear sky,21.2833,-88.2667,Hotel Don Fernando
21,Suntar,Ru,65.91,broken clouds,62.1444,117.6319,Гостевая квартира
22,Broome,Us,79.47,clear sky,42.2506,-75.833,Chenango Valley State Park
23,Porto santo,Pt,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
24,Mogadishu,So,76.75,broken clouds,2.0371,45.3438,Hotel Juba
25,Tasiilaq,Gl,48.36,broken clouds,65.6145,-37.6368,The Red House
26,Chuy,Uy,54.27,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
27,Buarcos,Pt,74.66,clear sky,40.166,-8.8768,Hotel Sweet Atlantic SPA
29,Lazurne,Ua,71.37,few clouds,46.084,32.5295,New Manna Hostel
30,Bambous virieux,Mu,70.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
32,Ambovombe,Mg,65.01,clear sky,-25.1667,46.0833,RELAHARA
33,Mount gambier,Au,47.68,broken clouds,-37.8333,140.7667,The Commodore
34,Lebu,Cl,51.58,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
36,Zaranj,Af,103.96,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
37,Broken hill,Au,40.53,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
38,Olafsvik,Is,47.1,broken clouds,64.8945,-23.7142,Hotel Olafsvik
39,Bluff,Nz,46.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
40,Victoria,Cn,84.33,overcast clouds,22.2855,114.1577,Mini Central
41,Qaanaaq,Gl,36.97,light rain,77.484,-69.3632,Qaanaaq Hotel
42,Acapulco,Mx,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
44,Mayumba,Ga,72.18,scattered clouds,-3.432,10.6554,LIKWALE LODGE
45,Puerto ayora,Ec,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Havoysund,No,53.83,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
47,Peleduy,Ru,59.45,overcast clouds,59.6289,112.7406,Гостиница «Уют»
48,Shimoda,Jp,78.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
